2ndFlrSF,GarageArea,LotArea,TotalBsmtSF,YearBuilt
920.0,644,8640,900,2009
0.0,290,11500,0,1957
0.0,0,4270,544,1931
1185.0,666,14720,2033,1995
,632,7314,1232,2007
0.0,528,9600,1164,1969
336.0,160,9439,912,1930
0.0,572,57200,747,1948
1100.0,440,7851,860,2002
,286,2217,546,1970
0.0,400,9450,894,1954
0.0,558,10665,1453,2003
0.0,270,8246,1060,1968
0.0,484,8450,1436,2004
0.0,504,8712,540,1952
888.0,320,10800,880,1914
0.0,432,5890,816,1930
656.0,400,7750,384,2000
0.0,303,10708,1617,1955
0.0,648,4045,1356,2006
0.0,312,12493,1100,1960
0.0,264,8314,816,1982
,308,16905,1350,1959
568.0,842,13478,1722,2008
0.0,572,8172,864,1955
0.0,453,7500,1257,2005
,0,8125,858,1971
878.0,506,9291,832,1993
351.0,264,6060,732,1939
694.0,460,7917,953,1999
0.0,288,9858,864,1968
0.0,522,11838,1753,2001
,416,14442,1477,1957
780.0,484,10304,780,1976
0.0,588,8393,1626,1959
668.0,462,1300,561,1980
0.0,890,14230,1566,2007
684.0,460,8773,916,1997
448.0,240,6240,896,1936
0.0,540,15611,1126,1977
0.0,264,6951,876,1984
0.0,205,6000,616,1921
0.0,0,8000,1800,1961
0.0,505,12160,1505,1953
0.0,621,12984,1430,1977
0.0,451,7024,1132,2005
836.0,470,15426,928,1997
441.0,240,8405,0,1945
748.0,336,9638,804,1919
0.0,457,3182,1346,2005
0.0,220,5820,1162,1955
756.0,440,2117,756,2000
0.0,288,13526,935,1965
0.0,270,5684,813,1930
896.0,230,7800,896,1948
797.0,514,11839,1475,1990
648.0,282,13710,910,1950
832.0,528,10140,832,1976
0.0,522,11160,2110,1968
881.0,684,9337,824,1997
550.0,336,2665,757,1977
576.0,256,6000,811,1954
732.0,380,3363,976,2004
649.0,440,9786,912,1962
648.0,520,10800,954,1900
975.0,493,8750,915,1994
0.0,506,7763,931,1962
0.0,573,9100,1212,2001
596.0,672,7264,952,1925
,384,9750,980,1967
,470,14115,1073,1956
0.0,384,8900,1056,1966
0.0,484,11049,1234,2007
672.0,440,2016,630,1970
371.0,0,7920,319,1920
0.0,576,7252,858,1982
1142.0,736,11924,1175,2005
0.0,414,8892,105,1953
813.0,442,9760,780,1964
876.0,400,11911,684,2005
0.0,630,8400,0,1977
0.0,582,4920,1338,2001
0.0,312,26142,1188,1962
0.0,527,8749,1459,2002
954.0,533,14000,1306,1996
0.0,605,16285,1413,2001
0.0,0,13907,996,1940
0.0,504,8250,1092,1964
625.0,625,4017,625,2006
864.0,572,9313,864,2004
0.0,280,7990,924,1975
0.0,530,7892,1199,1993
0.0,300,8978,948,1968
0.0,429,9100,925,1965
0.0,366,10625,458,1920
886.0,610,11143,1580,2004
941.0,487,14200,924,1966
0.0,572,4224,1040,1976
0.0,804,11400,2633,2001
,280,6380,993,1922
711.0,460,8121,953,2000
0.0,360,9000,784,1928
0.0,473,10125,1196,1977
0.0,284,17140,1134,1956
0.0,244,7800,1268,1954
0.0,480,11639,1428,2007
0.0,352,7200,1041,1976
0.0,275,11425,1008,1954
0.0,860,10226,1622,2008
864.0,673,8791,864,2003
0.0,322,8250,952,1968
0.0,286,7560,1040,1959
0.0,511,16669,1686,1981
,462,9084,935,1998
0.0,528,11341,1392,1957
0.0,270,10634,608,1953
742.0,390,12589,742,2005
0.0,300,9920,971,1969
0.0,539,11333,1029,1976
0.0,0,9400,945,1975
0.0,478,3136,1405,2003
712.0,472,10852,959,2000
0.0,495,10140,1056,1975
720.0,672,14762,0,1948
0.0,264,7892,918,1979
0.0,528,10768,1437,1976
0.0,440,4043,1069,1977
727.0,441,11700,727,1968
1070.0,510,11316,817,2002
0.0,895,14226,1935,2006
1080.0,564,11275,710,1967
0.0,420,4438,848,2004
670.0,400,8530,384,1995
0.0,260,9250,1056,1954
0.0,484,8885,864,1983
0.0,564,10395,1032,1978
0.0,338,8967,961,1920
0.0,480,8500,1235,1961
0.0,719,10357,910,1990
504.0,264,1680,483,1971
0.0,504,10530,975,1977
0.0,0,9000,1006,1959
780.0,0,5687,780,1912
,565,11645,860,2004
0.0,308,6000,960,1920
0.0,660,8814,1604,2006
0.0,621,15865,2217,1970
0.0,540,16381,1844,1969
772.0,380,7837,799,1993
0.0,577,9382,1468,1999
167.0,529,164660,1499,1965
0.0,338,9600,1240,1958
902.0,578,10769,866,2007
0.0,299,15870,1096,1969
857.0,542,20544,791,1986
688.0,453,7590,660,1966
728.0,410,8199,728,2005
0.0,319,16321,1484,1957
0.0,544,9135,1682,2003
785.0,389,9636,808,1992
0.0,288,14559,1008,1951
586.0,440,2289,855,1978
0.0,866,13891,1710,2007
888.0,463,8880,948,1994
754.0,475,13517,725,1976
0.0,367,4058,723,1998
,426,17104,654,2006
0.0,648,3982,1520,2006
0.0,308,6420,980,1952
850.0,753,11065,1085,2006
1357.0,750,9572,1453,1990
,696,9200,1470,1998
1169.0,480,11600,1105,1960
0.0,433,9120,1261,1958
0.0,480,9937,1486,1964
0.0,240,7677,773,1953
0.0,462,8400,1319,1962
913.0,546,10400,866,1998
0.0,0,9320,950,1959
0.0,420,4435,848,2003
596.0,198,8600,780,1937
729.0,440,3230,729,1999
0.0,0,5900,440,1923
729.0,440,3230,729,1999
0.0,440,13350,864,1974
833.0,427,10141,832,1998
0.0,611,16647,1390,1975
0.0,576,12735,864,1972
761.0,512,9600,528,1976
0.0,616,12416,1606,1986
612.0,528,3951,612,2009
0.0,288,6000,928,1957
720.0,0,5600,0,1930
809.0,546,9600,728,1925
708.0,776,11700,708,1968
846.0,736,10927,1058,2005
0.0,308,5868,936,1956
840.0,452,1950,716,1980
0.0,400,19138,864,1951
0.0,900,8125,1654,2002
0.0,576,25339,816,1918
1097.0,856,9430,1252,1999
0.0,436,9600,1067,1950
584.0,539,8930,0,1978
0.0,420,3196,1374,2003
644.0,486,16770,1195,1998
